forum,thread,threadLink,views,threadPosts,postNumber,screenname,post
eco-as-education,Eco as a Norwegian Environmental Education Tool | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1056/eco-as-a-norwegian-environmental-education-tool,3308,7,1,Motsaenggin,"Hello all, I am a PhD candidate in Environmental Psychology and Communication at the Department of Psychology at the Norwegian University of Science and Education, stationed in Trondheim, Norway. My PhD revolves around the use of games (digital and board-based) in environmental communication, and I am one of the recent patrons to have purchased the Classroom Pack for Eco. I am currently enrolled in creating a psychological framework model directed towards finding that elusive balance between a good game and an educational tool (which, as it turns out, is incredibly hard indeed! I am hoping to form a strong network here where I can observe, communicate and share ideas with like-minded and not-so-like-minded people, and I suppose this thread serves as a general introduction for myself and my work. It is intriguing to see so many people gather around Eco as a tool for education, and I hope to see the game flourish by the time it is released to the more mainstream gaming audience on Steam and similar gaming platforms. Feel free to introduce yourselves here if you will, and do let me know if there are other psychologists / researchers out there working around similar themes!"
eco-as-education,Eco as a Norwegian Environmental Education Tool | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1056/eco-as-a-norwegian-environmental-education-tool,3308,7,2,KeenSama,you can help discover the exact reason so many people turn into total abusive *%& within most online games :D
eco-as-education,Eco as a Norwegian Environmental Education Tool | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1056/eco-as-a-norwegian-environmental-education-tool,3308,7,3,Motsaenggin,"@KeenSama I'm afraid Richard Bartle was 20 years earlier than me in regards to explaining that! Some people play games simply because they are motivated to sabotage and destroy other players' gameplay sessions. Quite suitably, they are known as the ""Killer"" player types. And hey, where would the fun in playing games be if they didn't keep things interesting, eh?"
eco-as-education,Eco as a Norwegian Environmental Education Tool | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1056/eco-as-a-norwegian-environmental-education-tool,3308,7,4,KeenSama,1700 hours in rust teaches you how to deal with them lol This game is quite refreshingly clear of those anyhow
eco-as-education,Eco as a Norwegian Environmental Education Tool | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1056/eco-as-a-norwegian-environmental-education-tool,3308,7,5,Motsaenggin,"Rust is like a giant social experiment full of naked men carrying giant boulders around. Let us hope the devs refrain from that (at least for the time being) and instead focus on what makes Eco, as you said, a refreshing addition to online games! Here's to 1700 hours in Eco as well!"
eco-as-education,Eco as a Norwegian Environmental Education Tool | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1056/eco-as-a-norwegian-environmental-education-tool,3308,7,6,ArtisL,"Hey all In the gaming world I'm known has ArtisL. This name as evolved over the years and I think begin in the wow. In my real life I'm an educator for pupils in a secondary setting (aged 11-16).  My education was Bsc Applied Ecology and Postgrad in Sustainable Development. The reason I mention my education is solely to show some background on the Eco game. I have spent considerable time looking at the benefits of gaming.  My experience with educators is that they see games as a thing young people do.  I often get strange looks when I explain I 'game'.  Pupils love this however and I find it a gateway in helping me get concepts across. They do not see them as a tool for educating.  This is were Eco can make a massive difference. I hope to contribute has much as can in helping us all make this game great for players, pupils and educators. Regards
Artis"
eco-as-education,Eco as a Norwegian Environmental Education Tool | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1056/eco-as-a-norwegian-environmental-education-tool,3308,7,7,LeraNich,"Hello
I think that creating an educational tool is a cool idea because I think that children like technologies now and it is easier to organize the educational process in some tool! Also, it is easier to organize educational process with a help of the PapersOwl UK that can propose some services for students like editing their essays, dissertations etc... because it is the best essay writing service in the UK!"
eco-as-education,The Potential of educational games | ECO Forum,https://ecoforum.strangeloopgames.com/topic/5102/the-potential-of-educational-games,264,1,1,schmudo1,"Hi! For a semester work, I wanted to analyze the potential of games as educational assets. For this I wanted to compare serious games with entertaining games. It is easy to say: Call of Duty Black Ops 4 is way more interesting than a game about sustainable food sources. But what can a game like that do, to be more interesting? You guys are working on a monumental project that tries to implement the impact humans can have on the planet in a minecraftesque type of game. Not only is it entertaining (we all know what kind of success these kind of games can have) but also educational. Experiencing the consequences ""yourself"" what it means if you burn down all the forests has a stronger learning effect on a person than only hearing about it from school or news. So I was wondering if you could maybe fill out a small interview on this topic, to help me write a guidebook on how to make serious games more interesting for young people. This guide might be used to develop a game on sustainability for various schools in Zürich. I did not find any kind of contact email adress, so I post this in the public forum hoping a moderator could help me. If you are interested in answering my 7 Question interview, that would be amazing!"
eco-as-education,Club for school | ECO Forum,https://ecoforum.strangeloopgames.com/topic/5025/club-for-school,378,2,1,sliverclaws,Me and my fellow classmates were trying to make a club to help 9ur school and this game had everything we need but we need some help with gathering some benefits of eco for a gameing club for educational purposes
eco-as-education,Club for school | ECO Forum,https://ecoforum.strangeloopgames.com/topic/5025/club-for-school,378,2,2,AMX,What type of benefits are you looking to gather ? Do you have a server ?
eco-as-education,Eco Paper Examples | ECO Forum,https://ecoforum.strangeloopgames.com/topic/4898/eco-paper-examples,263,1,1,matthewmannn,
eco-as-education,Essay Sample | ECO Forum,https://ecoforum.strangeloopgames.com/topic/4895/essay-sample,310,1,1,GeorgeBray_1986,
eco-as-education,School Idea | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1299/school-idea,2696,5,1,ArtisL,"Hey I'm keen to set something up in the school I work at.  I'm in charge of the media subjects and IT.  One of my passions is making games more accepted by educators on the whole.  I find most educators stuck in this motion that games are bad.  Using the right approach games are actually incredibly beneficial. Once the game is more stable I'm going to start looking at how this can be implemented into the school teaching.  I currently use Minecraft as a tool but feel this game as more scope.  I'm keen to hear from the devs or people working on mods.  My plan is to use the game as part of a long term project for the pupils.  By incorporating real skills like planning, discussions and implementation the game could really shine as a education tool. Please if you have ideas that you don't mind sharing I'm keen to hear from you. Regards
ArtisL"
eco-as-education,School Idea | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1299/school-idea,2696,5,2,JohnK,Excellent!  We're hoping to have a lot of custom tools for teachers to use it in the classroom.  Would be great to get your feedback on that as we develop it.  Shoot me an email at john@strangeloopgames.com?
eco-as-education,School Idea | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1299/school-idea,2696,5,3,ArtisL,I emailed you John
eco-as-education,School Idea | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1299/school-idea,2696,5,4,mrl,"ArtisL, Any news for educators?"
eco-as-education,School Idea | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1299/school-idea,2696,5,5,The Iceman,I contacted John at Strangeloop when it as in alpha regards use in the classroom - he said he was keen to hear feedback but there is no direct forum or channel to do this aside form error reporting. I now play on a few servers but struggle to see a finished game which could be used. I'm thinking a couple of years from now the game might actually  be stable - too many additions and too many bugs which in an educational setting you just can't work with.
eco-as-education,Specific Biome - grasslands | ECO Forum,https://ecoforum.strangeloopgames.com/topic/4506/specific-biome-grasslands,470,1,1,TIngels777,"Hello
My son is a 5th grader and wants to simulate cause/effect of depleting water supplies and other natural resources in a grasslands biome.  My question for this thread is, does the ECO game allow for such a specific task, or would you have to more globally deplete resources in this game to see results?  It seems like the game is compilation of several biomes, but that is just from reading discussions as we haven't bought it yet. Any thoughts would be appreciated and thanks for reading! Tyson (and Oliver - 5th grader)"
eco-as-education,Eco for Elementary-Age Students | ECO Forum,https://ecoforum.strangeloopgames.com/topic/364/eco-for-elementary-age-students,5417,10,1,hypnagogic,"I teach with K-5th graders.  There is so much interest in Minecraft among these young students.  And our 3rd grade has a prominent unit on interdependency and ecosystems.  This game would be a huge hit with these young gamers.  I worry that the economy and certain other elements of the game might be a bit overwhelming at first.  But I can also see how this game could be used in different ways at different grade levels (e.g. 3rd grade focuses on interdependence of elements in an ecosystem, fourth graders focus on interpreting graphs and charts, fifth graders look at mod development), so the opportunity to buy a license and gift it to the child is enticing. I am hopeful that I, as the teacher, can mod the game into a more simple form.  Perhaps remove entire elements from the game (e.g. economy) to make it more digestible and streamlined.  I am curious if there are other educators out there who are thinking along the same lines I am.  I am curious if the developers have given much thought to making the game playable for younger kids.   I would love to connect with a  couple other people in the Eco community to share ideas and problems as we think about bringing this game to elementary education."
eco-as-education,Eco for Elementary-Age Students | ECO Forum,https://ecoforum.strangeloopgames.com/topic/364/eco-for-elementary-age-students,5417,10,2,dannypent,"Hello @hypnagogic, I work with K-8th graders during the summer months on subjects ranging from web development and video game creation to mathematics. I'm hoping to try and develop a curriculum for Eco over the next few months as development continues and more features are added/improved within the game. To address your concern over the current state of the game (excluding the bugs and clunkiness of controls) and its economy specifically, I believe it is already geared towards younger gamers. Given the fact that students are now (in vast majority) exposed to a plethora of electronic devices and gaming content at young ages, I believe that quick tutorials would be ample enough to get them going. Currently, I and another developer are beginning talks with an instructor from Canada who is going to be test-driving Eco in there classroom shortly. We've offered to host a server for them to experiment with how students interact in the game and to learn about different gameplay mechanics they feel are too difficult or are needed. If you'd be interested in doing something similar to this in the future as a way to try it out in an academic setting without risking interactions with others outside of your classroom on public servers, we would be happy to try and set something up."
eco-as-education,Eco for Elementary-Age Students | ECO Forum,https://ecoforum.strangeloopgames.com/topic/364/eco-for-elementary-age-students,5417,10,3,hypnagogic,"What a fantastic offer!  We haven't purchased the classroom license yet.  I am testing the game now to see whether we want to make the purchase or not.  I believe that you are correct about younger students being able to digest the complexities of the game.  I know that they crave complexity in gaming.  However, it would be good to be able to disable certain features and make a leaner version of the game.  This works well while they are learning the game.  It also works well for teachers who may not be proficient gamers and would benefit from a leaner game, or who would really like the students to focus on one or two key elements, as they relate to the classroom topics. After I audition the game, and we make a decision about whether to purchase a school license or not, I will let you know if we can use that server you offered.  Thanks again!  I look forward to hearing more about your experiences using this game with young students."
eco-as-education,Eco for Elementary-Age Students | ECO Forum,https://ecoforum.strangeloopgames.com/topic/364/eco-for-elementary-age-students,5417,10,4,JohnK,"Great to see you're interested in bringing the game to younger audiences, I think there's plenty we could do to make it work at younger ages, especially considering the fluency this generation has with games like Eco. I would love to get a repository of curriculum and mods that teachers can use to customize Eco to fit their classroom, and the goal is that by our official 'release' in 2017 we will have a really simple way for teachers to set this up for their class and customize it to their liking, removing all the rough edges for both students and teachers.  So you definitely have our full support in any mods and curriculum you want to start prototyping, and we can help with that development as well.  Let us know your thoughts as you work on ways this game could be used in education."
eco-as-education,Eco for Elementary-Age Students | ECO Forum,https://ecoforum.strangeloopgames.com/topic/364/eco-for-elementary-age-students,5417,10,5,hypnagogic,"@JohnK  great to hear from you.  I have been following the development of this game and watching your videos.  I appreciate your input in this discussion. John, can you speak to the notion of modding as a ""subtractive process""?  I have a notion of mods as an additive.  Is it comparable to use a mod to remove or pare down a game?"
eco-as-education,Eco for Elementary-Age Students | ECO Forum,https://ecoforum.strangeloopgames.com/topic/364/eco-for-elementary-age-students,5417,10,6,JohnK,"Not currently, but I like the idea and it could be something we add. It could either be done through server properties, or special mods that 'block' other mods. It already exists for some features, ie you can turn off the meteor via server properties, or change/disable the ecosystem, etc.  Pretty easy to put switches on things to turn them off, and I want to make it easy to do via a web interface.  Perhaps we can have predefined packages of the game for different ages. Curious to hear more @hypnagogic about how you think the game could change for younger students, and @dannypent what kind of curriculum you're thinking of building.  We're hoping to have an official package of curriculum to go with the game by launch in 2017, perhaps this is something you'd like to work with us on?"
eco-as-education,Eco for Elementary-Age Students | ECO Forum,https://ecoforum.strangeloopgames.com/topic/364/eco-for-elementary-age-students,5417,10,7,hypnagogic,"Thanks for your considered response, @JohnK We have a third grade unit on interdependency and ecosystems.  How animals thrive and adapt in particular environments and the food chain.  They also learn the different biomes. I think students could work in small groups to manage their world, the resources and the wildlife.  They could experience in a first-hand way, how overuse results in a spoiled ecosystem.  By devising the rules that they need to make their world thrive, they confront the necessary steps to protect an ecosystem.  This could lead to very thoughtful conversations about our world and how we can do a better job of managing our resources. I would love to see a robust variety of biomes.  Being able to add biomes (via mods) would be awesome.  Currently our students design animals to suit a particular biome (using arts and craft supplies).  We toyed with the idea of letting them design a biome, but abandoned it as too intellectual for them to really engage.  However, in the realm of this simulated world, designing a biome could be a fun challenge.  Given these organisms, can you devise an ideal biome for them to thrive. The underlying architecture of Eco could also be used to create simulations without human involvement.  You design a biome.  You design the organisms.  You push go and watch how the ecosystem thrives or fails.  Edit the settings and let it go again.  Did it survive longer this time? I have mocked up similar computer simulations and let the kids play with birth rates and life expectancies of animals in their eco system.  They can see why apex predators need to have low birth rates, and feeder animals (herbivores) need to have high birth rate.  If one species in your eco system goes extinct, then the eco system has collapsed and you need to start over again.  Seeing how long (time) the ecosystem survives becomes an indicator of how well-balanced it is. These are some thoughts from the top of my head, but I am pleased to be conversing with you, John, about this and I'm looking forward to more in-depth conversations to come."
eco-as-education,Eco for Elementary-Age Students | ECO Forum,https://ecoforum.strangeloopgames.com/topic/364/eco-for-elementary-age-students,5417,10,8,JohnK,"Sounds great, I think those could all be great mods for Eco that potentially become something more official. We're hoping to make Eco a platform open enough that it can support all kinds of mods like that, and grow into some very different systems.  Will have to keep in touch as we start fleshing out these systems more and getting to the point where we can have that capability.  Great curriculum ideas there."
eco-as-education,Eco for Elementary-Age Students | ECO Forum,https://ecoforum.strangeloopgames.com/topic/364/eco-for-elementary-age-students,5417,10,9,xx,"Hi,
what is the age preconise to find interest and to can play to this game? Is there any trial version that we can try?
Tks"
eco-as-education,Eco for Elementary-Age Students | ECO Forum,https://ecoforum.strangeloopgames.com/topic/364/eco-for-elementary-age-students,5417,10,10,Razorflare,"@xx Highly recommended for all age groups. very fun game, with some great cause and effect scenarios. If you just want to build and shape the world, you can turn off the meteor and play forever without consequence. Currently, i do not believe their is a trial version. I found this game on steam, for 34$."
eco-as-education,Eco in schools | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1762/eco-in-schools,1530,2,1,ens19,"Hi people I am a science teacher in New Zealand. I have been watching the development of this game for a while and I am really excited by it. I have put a proposal forward to my principle that we use this game in our school. I am looking for anyone else who is already using the game in their school, preferably in NZ. We are interested in learning how you have implemented it to benefit your staff and students."
eco-as-education,Eco in schools | ECO Forum,https://ecoforum.strangeloopgames.com/topic/1762/eco-in-schools,1530,2,2,mrl,"Ens, that is my question too, this game appears to be not yet mature enough to have anything to offer. Are their ""Creative Mode"" features that a teacher could set up the world in certain ways and build lessons around it prior to students entering the game/lesson/adventure the teacher has created.  This game appears to be too long running to fit into any reasonable classroom lesson plan aside from devoting many many hours of time to the game to get any benefit."
