forum,thread,threadLink,views,threadPosts,postNumber,screenname,post
community-management,Steam bundles? | ECO Forum,https://ecoforum.strangeloopgames.com/topic/5538/steam-bundles,8,2,1,JayD2point0,"Are there any plans of implementing bundled purchases of the game via Steam? I have quite a few steam friends that are interested in this game and I'd love to get it for them! However, I know that since they swear by the Steam platform, they'd be unlikely to give it a chance."
community-management,Steam bundles? | ECO Forum,https://ecoforum.strangeloopgames.com/topic/5538/steam-bundles,8,2,2,SLG-Dennis,"Hello,
Steam does no longer allow developers to sell bundles on steam since about two years. Only developers that already had a bundle were allowed to keep them.
We would gladly offer two and four pack bundles on steam - but this is simply no longer possible. You can still get the bundle on our website, invite them and then they can link their accounts to steam to also have it in steam. Sorry i can't bring you any better news."
community-management,Should certain menu clicks be opening the game folder? | ECO Forum,https://ecoforum.strangeloopgames.com/topic/4458/should-certain-menu-clicks-be-opening-the-game-folder,870,4,1,Elliander,"Is it normal that when I click on  Government > (anything), or click on Graphs, the Eco game folder opens and nothing else? Is there some out of game way that these features are supposed to be used, or are they currently disabled in the latest build?"
community-management,Should certain menu clicks be opening the game folder? | ECO Forum,https://ecoforum.strangeloopgames.com/topic/4458/should-certain-menu-clicks-be-opening-the-game-folder,870,4,2,ShaydenMac,"I'm pretty sure this may be your browser. If you're using IE you should change it to Chrome. If that doesn't fix, it may be a bug and in that case, you can report bugs here: https://github.com/StrangeLoopGames/EcoIssues/issues"
community-management,Should certain menu clicks be opening the game folder? | ECO Forum,https://ecoforum.strangeloopgames.com/topic/4458/should-certain-menu-clicks-be-opening-the-game-folder,870,4,3,Elliander,"@ShaydenMac said: I reported it here:https://github.com/StrangeLoopGames/EcoIssues/issues/7225 Why would the browser matter though? Does the game rely on a browser for in game menus? I have Firefox and Chome installed, and both IE and Edge are disabled on my machine."
community-management,Should certain menu clicks be opening the game folder? | ECO Forum,https://ecoforum.strangeloopgames.com/topic/4458/should-certain-menu-clicks-be-opening-the-game-folder,870,4,4,ShaydenMac,Thanks for the bug report Elliander. We appreciate it! ~ Shay
community-management,Eco Wiki in french | ECO Forum,https://ecoforum.strangeloopgames.com/topic/3587/eco-wiki-in-french,890,2,1,chouvi21,"Hello,
I want to translate the wiki in french. It's possible?
If yes, it's possible to have a link ""Français"" in a rubric ""Other Translation""
I don't want money to do that"
community-management,Eco Wiki in french | ECO Forum,https://ecoforum.strangeloopgames.com/topic/3587/eco-wiki-in-french,890,2,2,ShaydenMac,"If you're still interested in this, we are building up our volunteer wiki translation team. You can inquire on our Discord server: https://discord.gg/zyvvKAg in the #wikieditors channel. Thanks!"
community-management,help resetting password for primary account | ECO Forum,https://ecoforum.strangeloopgames.com/topic/4289/help-resetting-password-for-primary-account,679,3,1,xtreampb1,"I attempted to reset my password for my primary account but never got the e-mail to reset.  Could an administrator please PM me to help resolve this so that I can continue gain access for my dev account? Thank you, xtreampb"
community-management,help resetting password for primary account | ECO Forum,https://ecoforum.strangeloopgames.com/topic/4289/help-resetting-password-for-primary-account,679,3,2,Thineboot,You should try to contact SLG support.
